danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,4CoSCPlKNrWli7E5kFtbcl,221053,4
0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,7G7tgVYORlDuVprcYHuFJh,236933,4
0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,5lWSa1rmuSL6OBPOnkAqoa,220667,4
0.801,0.85,5,-6.342,1,0.0413,0.122,0.000971,0.112,0.923,128.007,4NHLhoZgBkICm5LtTRXFAP,218027,4
0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,2dCmGcEOQrMQhMMS8Vj7Ca,205467,4
0.673,0.752,9,-7.978,0,0.0491,0.00309,0.0,0.112,0.576,120.041,2a1MrtxYybqFV1Ow8VJ1dW,265027,4
0.68,0.877,5,-10.241,0,0.0353,0.191,0.000656,0.349,0.922,108.674,3PR79C1jVvLLLmgdyHkXl3,185107,4
0.491,0.919,7,-5.182,0,0.231,0.214,0.0,0.399,0.649,118.18,5mbQEvIPlKTOHYo4NflGHd,224520,4
0.87,0.657,2,-7.32,1,0.0522,0.149,0.0102,0.053,0.893,110.596,0G3fbPbE1vGeABDEZF0jeG,495400,4
0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,6ztstiyZL6FXzh4aG46ZPD,288293,4
0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,3kXoKlD84c6OmIcOLfrfEs,216022,4
0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394,5uuJruktM9fMdN9Va0DUMl,300000,4
0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,3koCCeSaVUyrRo3N2gHrd8,339320,4
0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,3qI94hINNNeb4S7xQi18lS,214200,4
